Feature/Servico;Tapronto Teste;Tapronto Essencial;Tapronto Profissional;Tapronto Premium;OlaClick Advanced;OlaClick Premium;Abrahão Gratis;Abrahão Basico;Abrahão Automatizar;Anota AI Start/Advanced/Premium;Cardapio.ai PDV Basico;Leitura estratégica
Preco base;R$ 0 por 14 dias;R$ 49,90;R$ 89,90;R$ 149,90;R$ 73,30 ou R$ 64 anual;R$ 188 ou R$ 160 anual;R$ 0;R$ 59,94 anual;R$ 138,68 anual;R$ 249,99 a R$ 389,99;R$ 49,90;Tapronto esta bem posicionado se entregar simplicidade e zero comissao.
Produtos;10;25;100;Ilimitado;Nao destacado;Nao destacado;Nao detalhado;Nao detalhado;Nao detalhado;Nao detalhado;Ilimitado;Essencial com 25 produtos e coerente para ser barato sem virar plano completo.
Categorias;3;5;Ilimitado;Ilimitado;Nao destacado;Nao destacado;Nao detalhado;Nao detalhado;Nao detalhado;Nao detalhado;Nao detalhado;5 categorias no Essencial atende burger/pizza/acai pequeno.
Pedidos/mês;30;150;Ilimitado;Ilimitado;400;4.000;30 + excedente;Ilimitado;Ilimitado;Sem taxa por pedido declarada no site;Ilimitado;150 pedidos no Essencial e aceitavel para inicio, mas pode virar gargalo em lojas ativas.
Taxa por pedido;Nao;Nao;Nao;Nao;Nao informado;Nao informado;Excedente no gratis;Nao informado;Nao informado;Sem comissao declarada;Nao informado;Manter sem comissao e uma promessa forte.
Cardapio digital;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Core obrigatorio.
Link publico/QR;Sim;Sim;Sim;Sim;Sim;Sim;Link compartilhavel;QR como adicional em alguns planos;QR pode ser adicional;Sim;Sim;Tapronto deveria manter QR basico mesmo barato para ser digno.
Mesas/Comandas;Nao;Basico se liberado;Sim;Sim;Nao destacado;Sim/gestao cozinha;QR adicional;QR adicional;KDS/impressao;Sim;Alguns recursos bloqueados no basico;Mesa simples no Profissional e Premium e justo.
WhatsApp manual;Sim;Sim;Sim;Nao;Nao destacado;Nao destacado;Sim;Sim;Sim;Pedidos via WhatsApp;Nao destacado;Manual deve ficar nos planos baratos.
WhatsApp automatico;Nao;Nao;Adicional;Incluso;Chatbot no Premium;Chatbot;Nao;Nao;Atendente virtual;Sim em automacao;Robô bloqueado no basico;Correto nao colocar no Essencial por custo da instancia.
Pagamento online Pix/cartao;Nao;Opcional configuravel;Sim/Opcional;Sim;Sim;Sim;Nao claro;Nao claro;Sim;Sim;Opcional;Para Tapronto, Pix online precisa ser opcional e bem guiado.
Cupons;Nao;Basico se liberado;Sim;Sim;Nao destacado;Sim;Nao;Sim;Sim;Marketing;Sim;Cupons simples no Essencial ajudam valor percebido.
Fidelidade;Nao;Nao;Talvez;Sim;Nao destacado;Sim;Nao;Nao;Sim;Sim;Cashback/cupons;Fidelidade deve ser Premium ou adicional futuro.
Sugestoes no carrinho;Nao;Basico;Sim;Sim;Nao destacado;Recuperador/vendas;Nao;Nao;Vendas sugestivas;Marketing;Nao claro;Sugestao simples pode ficar em todos, automacao avancada no Premium.
Relatorios;Nao;Basico;Sim;Sim;Analises;Analises;Nao;Nao;Analytics;Gestao/relatorios;Relatorios de vendas;Relatorio basico no Essencial, completo no Profissional.
KDS/cozinha;Nao;Nao;Sim se estavel;Sim;Nao claro;Gerenciamento cozinha;Nao;Nao;KDS;Gestao/salao;KDS bloqueado no basico;Nao entregar barato se demandar suporte.
Impressao;Nao;Nao;Sim;Sim;Impressao automatica/app;Impressao/app;Nao;Nao;Impressoras;Gestao;Impressao no basico;Se impressao estiver instavel, deixar Profissional+.
Usuarios equipe;1;1;5;10;Nao informado;Nao informado;Nao informado;Nao informado;Nao informado;Nao informado;Cadastro funcionarios bloqueado;Boa separacao por maturidade.
Dominio personalizado;Nao;Nao ou opcional;Opcional;Incluso;Sim;Sim;Nao;Link compartilhavel;Nao claro;Nao claro;Nao claro;Melhor colocar como Premium ou adicional para nao gerar suporte barato.
Suporte humano;Basico;Basico;Padrao;Prioritario;Suporte;Suporte;Nao claro;Nao claro;Suporte;Suporte humanizado;Suporte humano WhatsApp;Suporte prioritario e diferencial Premium.
Setup assistido;Nao;Pago;Pago;Incluso/parcial;Feito pela equipe em planos pagos;Feito pela equipe;Nao;Nao;Nao claro;Consultivo;Nao claro;Tapronto deve vender setup assistido para leigos sem inflar mensalidade.
Conclusao;Entrada digna;Melhor preco para pequenos;Plano principal;Automacao com margem;Concorrente medio;Concorrente robusto;Entrada gratis limitada;Basico forte;Automacao forte;Caro;Preco agressivo;Tapronto deve vencer por clareza, simplicidade, suporte e preco fixo.
